userName,email,password,phoneNumber,accountNumber,balance,currency,transactionAmount,transactionDate,transactionType,paymentMethodType,cardNumber,cardType,expirationDate,cvv,countryName,cardIssuer
Alisha Schneider,gkane@example.com,+F01Q(k1gx,+380978792455,GB49NELE969436005447,2639.6,UAH,4314.21,2025-03-07 07:53:10,deposit,bank_transfer,348763814979559,CREDIT,07/25,285,Trinidad and Tobago,countryName
Elijah Rodriguez,jwinters@example.net,G8QqjRV1@w,+380688078905,GB16RKQJ999620604815,2532.32,UAH,1604.69,2025-01-05 21:42:58,transfer,debit_card,4171030616632523512,PREPARED,06/26,493,Nepal,countryName
Brenda Kaiser,elizabeth40@example.org,$1YPmtypD#,+380978271216,GB95QXXP355134905929,8733.55,UAH,904.36,2025-02-24 00:06:01,withdrawal,debit_card,4050079373299952,CREDIT,09/25,814,Armenia,countryName
Nancy Harris,williamsnyder@example.com,)zOJJh0Z60,+380975517322,GB43CKBH086275884564,834.38,USD,4146.72,2025-01-22 20:21:38,withdrawal,debit_card,4125507097643668,CREDIT,02/28,163,Liechtenstein,countryName
Stephanie Aguilar,nguyenlisa@example.net,+QnX8OkVW^,+380993510621,GB29VCYL560981387320,2533.37,UAH,633.13,2025-01-23 20:53:50,deposit,credit_card,3559173797758947,PREPARED,05/26,558,Cook Islands,countryName
Thomas Frost,matthewturner@example.net,@17YhB_x(Y,+380952310792,GB75GDPE776153906094,2269.89,EUR,3049.0,2025-01-01 08:01:10,transfer,debit_card,38130511137490,DEBIT,05/28,630,Puerto Rico,countryName
Troy Brown,donaldhart@example.net,PkLqYFHp(5,+380951063615,GB75QONV674376680703,3716.44,EUR,2616.45,2025-01-11 06:32:07,transfer,bank_transfer,3532961505362941,CREDIT,04/27,956,Algeria,countryName
Anne Robinson,vwalton@example.com,3QWUk%Sg)t,+380666773069,GB88BLSX384558270331,3786.87,EUR,1361.56,2025-03-22 04:26:13,deposit,credit_card,501848749807,DEBIT,07/28,545,Ethiopia,countryName
Christine Morales,davidbernard@example.com,f9K9xz5*$c,+380987756568,GB58YBLK875951748684,4094.77,UAH,1533.29,2025-02-08 04:26:48,withdrawal,bank_transfer,3552845978376345,DEBIT,10/26,649,Honduras,countryName
Mark Bullock,rroberts@example.com,!s!5^DjjiW,+380507370252,GB73RQMM396746063021,1982.08,EUR,2393.0,2025-02-12 16:15:56,withdrawal,debit_card,3536501245983659,DEBIT,10/27,109,Russian Federation,countryName
Adam Lee,ibarratimothy@example.com,$63R)VwW*k,+380503516646,GB57CGVF522888325940,611.04,USD,353.53,2025-03-13 02:38:56,deposit,bank_transfer,4660270536821,CREDIT,03/26,671,Argentina,countryName
Gregory Mitchell,michelle70@example.org,(4+x0fHiDs,+380974892887,GB40APIQ697617473607,3639.57,USD,1192.57,2025-03-27 12:04:46,deposit,credit_card,3566871291645814,CREDIT,08/27,172,Senegal,countryName
Susan Gamble,gzhang@example.net,+7iJn&81!9,+380937885352,GB62SXYK155023661306,2294.14,UAH,2319.09,2025-02-26 12:44:23,deposit,credit_card,38230779228872,DEBIT,04/26,116,Christmas Island,countryName
Laura Briggs,dcamacho@example.com,@7nb_lEjZ7,+380679689682,GB89NOFX818555259251,1970.27,EUR,800.7,2025-02-06 21:47:49,deposit,debit_card,4716663777311657,DEBIT,06/27,567,Benin,countryName
Theresa Russell,shane87@example.net,T%Rh7G*e!E,+380733746059,GB50OGUN203993778123,2166.33,USD,4379.25,2025-02-11 02:37:05,deposit,bank_transfer,341949953601438,DEBIT,06/27,210,Palestinian Territory,countryName
Willie Garner,mollystokes@example.org,1#2r7PrYVA,+380999010535,GB30SIFE913934523611,1923.69,UAH,3775.46,2025-02-06 17:39:28,transfer,debit_card,180059450293822,PREPARED,05/27,787,Ecuador,countryName
Michael Boyer DDS,smithricardo@example.org,k$8oIlGe9e,+380639864882,GB94HXHC268530681425,4911.05,UAH,1059.2,2025-03-04 15:47:08,deposit,credit_card,4155249260775422,CREDIT,01/26,375,Congo,countryName
Phillip Kirby,margaretbrewer@example.net,+5*YMcIk96,+380934270337,GB90YCAO446140261880,3898.2,EUR,3840.88,2025-03-12 17:38:19,transfer,credit_card,213168994618823,CREDIT,09/27,399,Congo,countryName
Vanessa Bell,christopherwilliams@example.com,$A&0TPlcdz,+380664956722,GB89EJEB542985393242,7740.05,USD,2464.67,2025-02-18 15:49:48,transfer,credit_card,4522554916684679935,PREPARED,06/26,446,Palestinian Territory,countryName
Kelly Johnson,ethanhoward@example.net,OXrjHtzc^8,+380737361492,GB28KFHN723761441440,5825.63,UAH,2492.7,2025-01-16 06:09:02,withdrawal,credit_card,3544710891374176,DEBIT,06/26,858,Sweden,countryName
Blake Gomez,sarahbentley@example.org,c!9LUupmos,+380666095884,GB25HINR167148627736,7467.13,EUR,2033.6,2025-03-07 05:04:49,withdrawal,debit_card,2223136490098158,PREPARED,02/26,353,Brunei Darussalam,countryName
Stephen Shepard,hintonjulie@example.com,52gGJCxk%6,+380962569574,GB04WQGJ325903287186,4222.08,EUR,4664.76,2025-01-27 14:48:38,deposit,debit_card,4028333142443,PREPARED,03/28,726,Cyprus,countryName
David Levine,everettdavid@example.com,HgsGdSjC+0,+380737644050,GB75AIFM648967050965,7201.5,EUR,2835.61,2025-02-17 08:43:28,withdrawal,credit_card,371113643068648,PREPARED,06/25,768,Saint Kitts and Nevis,countryName
Rodney Brandt,keithmeza@example.net,3rTmkRtx&X,+380681298804,GB23THCW694918019237,2650.22,EUR,3212.34,2025-04-04 12:18:13,deposit,bank_transfer,3580080899643575,DEBIT,08/25,220,Micronesia,countryName
Stacy Smith,jessica89@example.net,%aUIOS4xz2,+380507037464,GB75YJVM184511712151,2854.56,EUR,4811.15,2025-03-30 10:35:02,withdrawal,bank_transfer,4952415650337603,CREDIT,09/25,734,Brunei Darussalam,countryName
Sarah Rodriguez,christopher15@example.org,wDs4zQdvL&,+380665507503,GB28IEGN038106771638,1799.38,EUR,60.24,2025-02-25 12:13:46,transfer,debit_card,6011373554664719,CREDIT,06/26,631,Syrian Arab Republic,countryName
Joshua Duran MD,sullivanrebekah@example.net,+zGE616d2x,+380736453769,GB07PUHZ451145602552,1436.62,EUR,653.97,2025-01-22 04:02:01,transfer,debit_card,3508731556582527,DEBIT,02/28,498,Niger,countryName
Robert Kline,kespinoza@example.net,H)&Qujvn#0,+380959317535,GB22VTLM666789204451,7765.55,USD,1962.59,2025-03-20 22:09:47,withdrawal,bank_transfer,4065721852977,CREDIT,10/26,294,American Samoa,countryName
Daryl Alexander,samanthapowell@example.com,skp6(U5b!@,+380984181786,GB18OGFU128604887617,4507.21,UAH,1041.86,2025-01-23 09:54:53,transfer,credit_card,4769893025961534,PREPARED,02/29,778,Romania,countryName
Tiffany Johnson,johnsonmichael@example.com,zd89NIZCQ),+380938351907,GB73HZCW121514326870,7242.58,EUR,4784.02,2025-03-09 03:29:36,withdrawal,debit_card,3545063657105601,PREPARED,04/28,525,Palestinian Territory,countryName
Bailey Young,rodney38@example.net,h9(KWrzn$F,+380689650440,GB12XTNP192574896975,5845.43,EUR,1861.84,2025-04-03 18:38:55,transfer,credit_card,4351471429632540,CREDIT,04/29,662,Liberia,countryName
Christopher Hill,rose30@example.org,oYFBqkOJ*3,+380735415739,GB72HBKH428630372984,766.8,UAH,951.29,2025-01-09 07:43:21,transfer,credit_card,501883634070,PREPARED,03/28,710,Jamaica,countryName
Donald Black,lroberts@example.org,I4K*7gAm%D,+380976346113,GB16DTTO383151235386,3788.17,UAH,2365.82,2025-03-22 06:42:12,withdrawal,debit_card,36938711559566,PREPARED,04/28,904,Ukraine,countryName
Robert Spencer,ycameron@example.com,_v*Jh0Qn!e,+380996298547,GB22VVKX092352581822,6639.8,USD,1918.58,2025-04-06 22:07:06,withdrawal,credit_card,2295965669545240,PREPARED,03/29,300,Liberia,countryName
Gregory Jacobs,seth59@example.org,S3fVdTcD#Q,+380986638359,GB13GINC154905331870,5061.04,UAH,443.05,2025-02-14 14:57:40,transfer,debit_card,4919500765179750,CREDIT,06/25,292,Guernsey,countryName
Holly White,bmiller@example.org,@8HBkHdvR0,+380997253069,GB31XWLI442577783227,4072.03,USD,3674.6,2025-03-25 11:38:48,deposit,bank_transfer,5470270976313147,DEBIT,10/27,548,Bouvet Island (Bouvetoya),countryName
Andrew Holder,vholmes@example.net,d5yxH_Kw!$,+380506980738,GB93YLOT933649301583,2796.92,UAH,1898.54,2025-04-09 21:33:58,withdrawal,bank_transfer,3533882600427489,CREDIT,04/26,457,Cape Verde,countryName
Patrick Nguyen,elizabethcook@example.com,)wl@De&v)0,+380501951063,GB50TAEJ077490386250,7217.82,USD,3771.3,2025-02-28 05:37:07,deposit,credit_card,3562910574954974,DEBIT,03/28,842,Saint Lucia,countryName
Stefanie Howell,robert94@example.org,&1COJjxLgB,+380732746722,GB08IKMW977875474041,2993.4,USD,4770.88,2025-03-28 09:54:44,transfer,credit_card,4137992616298970533,CREDIT,03/29,381,North Macedonia,countryName
Douglas Webster,walkertyler@example.org,$+Pk6FDi8L,+380666519513,GB89RASI595304007297,4477.58,EUR,2485.0,2025-04-08 07:17:37,withdrawal,debit_card,30192753066710,CREDIT,08/27,305,Hungary,countryName
Andrea Vargas,evanskim@example.com,b2TVpdWA(4,+380974788286,GB68RLYC170101320723,7918.55,USD,4754.15,2025-02-12 18:42:40,transfer,credit_card,676147671124,PREPARED,05/28,105,New Zealand,countryName
Rhonda Rios,moorepaul@example.org,s^5)9oDx$^,+380661800347,GB52OMME202107641115,1002.88,USD,1600.86,2025-02-14 00:35:03,withdrawal,bank_transfer,30385998515455,DEBIT,06/27,718,Liechtenstein,countryName
Gloria Holmes,michaelphelps@example.net,T_3k!aHck),+380957124097,GB60NLXI300655855875,8594.2,EUR,2131.81,2025-02-13 16:10:18,deposit,bank_transfer,36452795661892,PREPARED,03/26,353,Israel,countryName
Sara Johnson,elizabethmarshall@example.org,6b8Bg$4m*K,+380635705724,GB94JXJI678985417503,3495.33,EUR,281.09,2025-02-19 17:37:27,withdrawal,credit_card,345029803988164,CREDIT,08/28,406,Lao People's Democratic Republic,countryName
Shawn Castro,goodmandiana@example.net,3)8k7O3kLf,+380507974073,GB10RDNW969354313921,6137.83,UAH,4862.11,2025-01-20 21:35:31,transfer,credit_card,630485229664,CREDIT,11/25,610,Hungary,countryName
Stephanie Jacobs,susan79@example.com,1K^0YZWro4,+380738460282,GB84JSEQ698379644699,7498.34,UAH,4430.29,2025-03-25 02:22:24,deposit,credit_card,676156261205,PREPARED,03/28,434,Papua New Guinea,countryName
Lauren Warner,hlindsey@example.org,(8^Iy4f#Ak,+380687493800,GB55KEQE644573543082,1178.78,UAH,2220.83,2025-02-03 18:51:27,deposit,bank_transfer,4615265774547098872,CREDIT,02/27,333,United Kingdom,countryName
Anthony Powell,wendy49@example.org,LjB0nHBo)A,+380996176883,GB21MJAR336831089149,7752.72,EUR,3596.23,2025-01-02 06:11:38,deposit,credit_card,4102581369980,CREDIT,08/26,314,Congo,countryName
Katie Pena,lisa06@example.org,zs_h0OvI!),+380503360041,GB79UQSX028045843264,3714.04,EUR,1808.53,2025-02-20 05:13:29,deposit,credit_card,4530068087842959,DEBIT,09/25,577,Falkland Islands (Malvinas),countryName
Richard Harris,michaelbender@example.net,i(Sn&sn*$8,+380631459628,GB75NUBR603351669204,9876.89,UAH,1106.34,2025-03-12 04:31:39,transfer,credit_card,4903507644679957,PREPARED,07/25,877,Morocco,countryName
Stephen Gray,gsmith@example.com,$dA77fmdN8,+380509601630,GB70ZTMU817495046969,9342.21,UAH,4097.2,2025-02-22 09:12:02,deposit,bank_transfer,4717287811645,PREPARED,10/27,171,New Zealand,countryName
Dylan Barnett DVM,ameyers@example.net,E$T94Rg0Wm,+380669094936,GB98USVM917742714185,3420.55,UAH,4702.6,2025-02-07 02:40:47,deposit,credit_card,4849911407199897,CREDIT,01/28,978,Indonesia,countryName
Alexis Rogers,burkeemma@example.com,&Z5ZsQKxb9,+380688805495,GB81HGRL075530288024,3576.69,UAH,1636.0,2025-01-07 04:20:38,transfer,bank_transfer,2349894204111639,CREDIT,08/27,760,Jordan,countryName
Natalie Hodges,mlee@example.net,&3zU^z8s5K,+380932799731,GB22VTBH624443207537,1798.83,EUR,4854.73,2025-02-23 14:59:03,deposit,credit_card,6573278146455072,PREPARED,06/28,846,Ethiopia,countryName
Bruce Fischer,william05@example.net,(u^6)yI5$!,+380505673819,GB26DKZH520601333283,3900.8,USD,1563.29,2025-02-03 16:36:34,withdrawal,bank_transfer,3518548391238554,CREDIT,08/25,725,Guatemala,countryName
Michael Porter,hsullivan@example.net,(xMNx^ul98,+380981780480,GB87XZES568578754360,8953.22,USD,4770.4,2025-03-26 10:36:11,deposit,credit_card,4378475940526957,CREDIT,05/25,860,Bosnia and Herzegovina,countryName
Jill Smith,micheallowery@example.com,tt0id7Tm(^,+380985786734,GB93VXLI593005173714,1984.79,EUR,4860.5,2025-01-14 11:40:20,withdrawal,debit_card,3579237532881805,DEBIT,06/25,616,Mexico,countryName
Kimberly Zamora,ggilbert@example.com,7v6T(Csp%_,+380975781571,GB87TUYM602616244136,9853.41,USD,1646.47,2025-03-23 02:16:54,transfer,debit_card,4296502408453,CREDIT,10/28,874,Micronesia,countryName
Amy Moore,michael77@example.com,1r3(JxOz$@,+380502953064,GB97GCIO128802800172,7286.86,EUR,3501.46,2025-02-09 18:39:34,withdrawal,bank_transfer,4527393238868,CREDIT,07/27,427,Malta,countryName
Tammy Anderson,martinezlorraine@example.net,$Q2R_0Xk*S,+380958404457,GB95RFHQ992413135061,5071.59,EUR,2299.39,2025-02-27 13:42:42,transfer,credit_card,2718917051540601,CREDIT,05/26,617,Lithuania,countryName
David Lopez,roachjonathan@example.com,Y_07TwPH#s,+380688312235,GB33RLRV712598796634,8496.48,USD,3084.38,2025-04-08 02:49:45,deposit,credit_card,3571996688576430,DEBIT,02/28,223,Portugal,countryName
Stephanie Hanna,amy22@example.com,(23KrFbVqg,+380973956868,GB57INOA434843302182,7443.71,EUR,3720.12,2025-02-06 05:34:35,withdrawal,debit_card,6505082059918883,DEBIT,05/28,610,Morocco,countryName
Kelly Patterson,bradley51@example.net,!VMMFagb8m,+380958208682,GB09SXYT203443864443,4152.37,UAH,1205.88,2025-02-24 00:31:08,withdrawal,credit_card,585388141376,DEBIT,07/26,464,Christmas Island,countryName
Warren Roman,pray@example.com,9h3RGTy5#c,+380996700637,GB34PIBG403503184922,3871.93,EUR,3605.73,2025-02-14 18:18:40,deposit,bank_transfer,180098059004370,CREDIT,06/28,104,North Macedonia,countryName
Heather Mason,alan45@example.net,L4nun)GW%m,+380955124795,GB06KBJL252986646145,4600.2,USD,2585.87,2025-03-04 00:00:13,withdrawal,bank_transfer,4361536632859169,PREPARED,04/28,397,Bermuda,countryName
Timothy Sanders,tyronemiller@example.org,#0DF%Frx1y,+380968528114,GB88RLHH373768011348,6864.53,EUR,4431.59,2025-02-15 19:05:25,withdrawal,credit_card,4197398703690431,PREPARED,02/26,250,Saint Vincent and the Grenadines,countryName
Peter Jordan,stokesmichelle@example.net,Qe1T8ABl#v,+380731183037,GB06HVKN197446576894,4021.35,UAH,2140.18,2025-01-28 01:41:45,withdrawal,debit_card,4332981791584172,CREDIT,11/25,561,China,countryName
Monica Pennington,vcochran@example.org,1!G2!ReooR,+380933447516,GB90NJYJ282766538621,4871.75,USD,3261.75,2025-02-26 21:59:49,withdrawal,credit_card,4727099058715265,PREPARED,02/27,434,Norfolk Island,countryName
Robert Lambert,valerieperez@example.net,#M9JX0UfDw,+380964861817,GB36FQQA987432915884,7800.93,EUR,3407.41,2025-01-21 23:52:36,withdrawal,credit_card,30200389636028,CREDIT,04/28,456,North Macedonia,countryName
Timothy Ward,stephanie53@example.net,Ig)9uHzfju,+380995348175,GB74XUVM788351972446,7145.74,UAH,4273.84,2025-03-08 14:23:17,withdrawal,debit_card,4037394745219614,DEBIT,06/25,921,Nicaragua,countryName
Victoria Parker,josephblack@example.net,LiV9nBzPu(,+380662911158,GB75MSWG219734287428,5263.13,USD,4299.6,2025-02-08 14:29:22,deposit,debit_card,4949711552412271169,CREDIT,06/26,965,Sudan,countryName
Denise Collins,danielpittman@example.org,rhngMMlN)7,+380974531703,GB85GPDU471989117266,5472.05,USD,1969.56,2025-01-10 00:34:22,deposit,bank_transfer,213129807767835,PREPARED,11/27,670,North Macedonia,countryName
Jason Jacobs,asilva@example.net,aJ5AKqui&V,+380684563227,GB43TYGW951680667170,8826.4,EUR,4996.2,2025-03-01 23:28:10,withdrawal,bank_transfer,4299004772323741,CREDIT,01/29,726,Cocos (Keeling) Islands,countryName
Patrick Santiago,anthony81@example.com,x+hKx7!eNG,+380977299350,GB56EQFV808758876960,2444.7,EUR,1321.94,2025-02-21 11:28:55,withdrawal,bank_transfer,4555966580896635085,PREPARED,04/25,736,Svalbard & Jan Mayen Islands,countryName
Derek Willis,perryhenry@example.net,K1QDY4C(*m,+380939592161,GB24WBKY566090696824,3137.22,USD,3389.8,2025-02-04 23:38:57,transfer,credit_card,4656145177007,DEBIT,10/28,644,Paraguay,countryName
Barbara Jones,candicejones@example.net,*dmVYx+f&1,+380982949385,GB80CMCB064904029312,6049.8,USD,791.66,2025-04-08 00:18:23,transfer,bank_transfer,2222157028957062,CREDIT,01/26,875,Bahamas,countryName
Hunter Smith,bautistajose@example.net,$_4LocYe2z,+380982552818,GB81KVWS473596128316,4014.7,UAH,4315.83,2025-01-27 20:19:53,transfer,credit_card,6011226179715045,PREPARED,03/26,598,Armenia,countryName
Michele Barber,ymedina@example.net,mj9xoQAoX$,+380638719360,GB22GBUZ287931412192,2275.74,EUR,167.92,2025-02-22 19:54:09,withdrawal,debit_card,4296433896496476,PREPARED,12/27,757,Central African Republic,countryName
